hex,confTime,timeGuessed
05f44b2a613ecba03d0bd9f41b69cb9d06e68f487fc648a7cf0478b0ceb03db2,3.00565815,1
11bec72dc466196d94e2a84d10af5680c8ba0cc75ff7137b9f06fd06020b1593,5.015844107,2
08482198be0ea032f555f769c4065905ee713377d89e85580b8c630d3bb3d90d,10.03571343,5
10f6b6ad5e069f3b97acb8979dc276b9a1c04beb48dd9fa7c8169a142879474a,2.006189823,1
0f0213af69ae68e40aa2a4d160290283fc71be471d8b132a25bdd63eba5c680e,7.010945082,3
1b9340ff517e0656f6a859ccb4c28958acaf5d4d8ca7a87eaec286b8cde622d9,10.02525973,4
1fd979495e57f9158924cac47d6ccc5fa3476f3a8c29dd023a7c8d1a13275fbc,5.007884264,1
2e9a77d03f78d8aceb3db478b111783e7c1cbb1155d3305138ae00c253070dab,2.002839088,1
069d0311d73159e071634ec6275b78f708b6bf15cde634d868e0f237d7a2e110,8.01160717,2
1173b00bed000d7a9dbc26078fc3c8c11f80343dd9b4726d356d1fc0d72715e6,5.014621496,1
3801812571dfcaa5441fe2ba14fed8571d530e84896c11a64e4bd238718712ae,3.007021427,1
043abe2dd08872fc9ecc5f98de5801a0276b16e79b180666606f5b32af90c15e,6.014657021,2
04d901cdcc744547648b1942b9ecb2ad2b6a4af2a98be503d39cacd3e88da431,3.00006938,1
2550f3df0ab7feb0aba57d877f03d7f91e69f04372cf33d3018c2f0483419a54,4.004323483,1
00aa955e8f3057b6b0af5dca00bfd06425a0dd7da650a4c79dfb08aa48863778,4.003904819,2
10497e4cc7e90541433263bd451ab8a4c8fcaf3ee108dd2f665a19758e8f5125,5.00386095,1
138bfa992685267257bdeb0b95a2c21fa06f758e6b57119c5a64c9b3d746b5b5,1.005310774,1
090ae9f92e3d8fe9f31887efbdd27dd992d61053f5922b225fad6479dd393b6b,15.01438427,4
02e0b8ae6c85332bd4003c5a78a6514e28b030f038c586d120778bf6c34d43ba,5.00158906,1
0211fc2d55dfc9e4deb28496ef11fe100721b8a5343b6efd02c7f171364d8c70,3.002889395,2
0638892504a19119438d9e0feb2eca0b347d624b0b05f7754a72e2116b291544,7.011927843,3
1209bfa4b5f711cc67510f3d986ad3b868912c56bf8f21d0bd94837bd4596767,6.010142326,2
04390d5328d80aba98c3b085f96c01981ae93e5eee734d27ce53b579ed51a226,4.004143238,1
230ad27c6e6e27669363918994e83fc533cf8d5ab4ee57ea1855428b8c553a53,1.001346588,1
